"journal_title","title"
"Investigative and Clinical Urology",389
"Investigational New Drugs",930
"Invertebrate Neuroscience",70
"Invertebrate Biology",1
"Inverse Problems in Science and Engineering",2
"Inventiones Mathematicae",4
"Intestinal Research",395
"Intervirology",185
"Interventional Neuroradiology",81
"Interventional Neurology",73
"Interventional Cardiology: Reviews, Research, Resources",66
"Interpreter and Translator Trainer",1
"Internet and Higher Education",2
"Internet Interventions",464
"International journal of oral science",193
"International journal of older people nursing",330
"International journal of nursing knowledge",133
"International journal of medical education",335
"International journal of computer assisted radiology and surgery",1373
"International braz j urol : official journal of the Brazilian Society of Urology",7
"International Wound Journal",1045
"International Urology and Nephrology",1992
"International Urogynecology Journal",2097
"International Transactions in Operational Research",4
"International Statistical Review",3
"International Social Science Journal",10
"International Review of Sport and Exercise Psychology",1
"International Review of Financial Analysis",2
"International Review of Economics",3
"International Orthopaedics",2057
"International Ophthalmology",2301
"International Nursing Review",198
"International Neurourology Journal",350
"International Nano Letters",4
"International Migration",9
"International Microbiology",288
"International Medical Case Reports Journal",29
"International Journal on Document Analysis and Recognition",1
"International Journal on Digital Libraries",6
"International Journal of Workplace Health Management",3
"International Journal of Women's Health",400
"International Journal of Women's Dermatology",399
"International Journal of Wireless Information Networks",3
"International Journal of Water Resources Development",1
"International Journal of Veterinary Science and Medicine",109
"International Journal of Vascular Medicine",87
"International Journal of Urology",922
"International Journal of Urban and Regional Research",1
"International Journal of Tryptophan Research",76
"International Journal of Tropical Insect Science",6
"International Journal of Trichology",65
"International Journal of Training and Development",1
"International Journal of Thermophysics",5
"International Journal of Thermal Sciences",2
"International Journal of Theoretical Physics",1
"International Journal of Telemedicine and Applications",79
"International Journal of Surgical Oncology",60
"International Journal of Surgery Protocols",93
"International Journal of Surgery Open",16
"International Journal of Surgery Case Reports",3933
"International Journal of Surgery",1756
"International Journal of Stroke",67
"International Journal of Stem Cells",27
"International Journal of Sports Physiology and Performance",693
"International Journal of Sports Physical Therapy",183
"International Journal of Sport Nutrition and Exercise Metabolism",149
"International Journal of Speech Technology",5
"International Journal of Social Welfare",2
"International Journal of Social Robotics",3
"International Journal of Selection and Assessment",1
"International Journal of Science and Mathematics Education",15
"International Journal of Science Education",3
"International Journal of STEM Education",112
"International Journal of STD and AIDS",25
"International Journal of Robust and Nonlinear Control",3
"International Journal of Rheumatology",84
"International Journal of Rheumatic Diseases",776
"International Journal of Retina and Vitreous",343
"International Journal of Reproductive BioMedicine",360
"International Journal of Remote Sensing",3
"International Journal of Radiation Oncology Biology Physics",2438
"International Journal of Quantum Chemistry",5
"International Journal of Public Health",955
"International Journal of Psychophysiology",1026
"International Journal of Psychology",511
"International Journal of Psychoanalysis",3
"International Journal of Production Research",1
"International Journal of Primatology",29
"International Journal of Preventive Medicine",989
"International Journal of Plant Production",3
"International Journal of Pharmacy Practice",308
"International Journal of Pharmaceutics: X",86
"International Journal of Pharmaceutics",6171
"International Journal of Pest Management",1
"International Journal of Peptide Research and Therapeutics",7
"International Journal of Pediatrics and Adolescent Medicine",184
"International Journal of Pediatrics (United Kingdom)",264
"International Journal of Pediatric Otorhinolaryngology",2964
"International Journal of Particle Therapy",180
"International Journal of Paleopathology",393
"International Journal of Paediatric Dentistry",356
"International Journal of Osteoarchaeology",9
"International Journal of Orthopaedic and Trauma Nursing",176
"International Journal of Ophthalmology",2199
"International Journal of Oncology",2098
"International Journal of Occupational and Environmental Medicine",2
"International Journal of Obstetric Anesthesia",346
"International Journal of Obesity",1651
"International Journal of Nursing Studies Advances",14
"International Journal of Nursing Studies",1165
"International Journal of Nursing Sciences",394
"International Journal of Nursing Practice",511
"International Journal of Nursing Education Scholarship",181
"International Journal of Neuropsychopharmacology",83
"International Journal of Nephrology and Renovascular Disease",125
"International Journal of Neonatal Screening",264
"International Journal of Nanomedicine",1970
"International Journal of Mycobacteriology",67
"International Journal of Molecular and Cellular Medicine",142
"International Journal of Molecular Sciences",51591
"International Journal of Molecular Medicine",2679
"International Journal of Migration, Health and Social Care",3
"International Journal of Methods in Psychiatric Research",309
"International Journal of Mental Health and Addiction",1
"International Journal of Mental Health Systems",507
"International Journal of Mental Health Nursing",315
"International Journal of Medical Sciences",1647
"International Journal of Medical Robotics and Computer Assisted Surgery",707
"International Journal of Medical Microbiology",431
"International Journal of Medical Informatics",1279
"International Journal of Mechanics and Materials in Design",1
"International Journal of Material Forming",2
"International Journal of Mass Spectrometry",2
"International Journal of Machine Learning and Cybernetics",21
"International Journal of Life Cycle Assessment",20
"International Journal of Legal Medicine",1461
"International Journal of Law and Psychiatry",412
"International Journal of Language and Communication Disorders",532
"International Journal of Laboratory Hematology",760
"International Journal of Intelligent Systems",3
"International Journal of Intelligent Robotics and Applications",9
"International Journal of Information Technology (Singapore)",56
"International Journal of Inflammation",89
"International Journal of Infectious Diseases",3348
"International Journal of Industrial Ergonomics",2
"International Journal of Impotence Research",620
"International Journal of Immunogenetics",228
"International Journal of Imaging Systems and Technology",29
"International Journal of Hygiene and Environmental Health",946
"International Journal of Human Rights in Healthcare",1
"International Journal of Human Computer Studies",2
"International Journal of High Risk Behaviors and Addiction",34
"International Journal of Health Policy and Management",1029
"International Journal of Health Planning and Management",794
"International Journal of Health Geographics",275
"International Journal of Health Economics and Management",134
"International Journal of Gynecology and Obstetrics",2083
"International Journal of Gynecological Cancer",531
"International Journal of Geriatric Psychiatry",1064
"International Journal of Geographical Information Science",1
"International Journal of Geo-Engineering",1
"International Journal of Genomics",407
"International Journal of General Medicine",1844
"International Journal of Gastronomy and Food Science",11
"International Journal of Fracture",8
"International Journal of Food Science and Technology",28
"International Journal of Food Science",393
"International Journal of Food Microbiology",2035
"International Journal of Food Contamination",2
"International Journal of Fertility and Sterility",292
"International Journal of Experimental Pathology",196
"International Journal of Epidemiology",134
"International Journal of Environmental Science and Technology",77
"International Journal of Environmental Research and Public Health",48065
"International Journal of Environmental Research",11
"International Journal of Energy Research",8
"International Journal of Endocrinology and Metabolism",205
"International Journal of Endocrinology",1105
"International Journal of Emergency Medicine",351
"International Journal of Educational Technology in Higher Education",60
"International Journal of Educational Research Open",27
"International Journal of Eating Disorders",1130
"International Journal of Earth Sciences",11
"International Journal of Dynamics and Control",22
"International Journal of Drug Policy",1718
"International Journal of Disaster Risk Reduction",160
"International Journal of Digital Earth",2
"International Journal of Developmental Neuroscience",525
"International Journal of Dermatology and Venereology",3
"International Journal of Dermatology",1549
"International Journal of Dentistry",857
"International Journal of Dental Hygiene",249
"International Journal of Critical Illness and Injury Science",96
"International Journal of Cosmetic Science",369
"International Journal of Control, Automation and Systems",2
"International Journal of Consumer Studies",7
"International Journal of Concrete Structures and Materials",2
"International Journal of Computer-Supported Collaborative Learning",3
"International Journal of Computer Vision",25
"International Journal of Computer Mathematics",1
"International Journal of Communication Systems",1
"International Journal of Colorectal Disease",1
"International Journal of Coal Science and Technology",4
"International Journal of Clinical and Health Psychology",228
"International Journal of Clinical Practice",1863
"International Journal of Clinical Pediatric Dentistry",145
"International Journal of Clinical Oncology",1220
"International Journal of Climatology",18
"International Journal of Climate Change Strategies and Management",2
"International Journal of Circumpolar Health",51
"International Journal of Child-Computer Interaction",2
"International Journal of Child Care and Education Policy",5
"International Journal of Chemical Kinetics",2
"International Journal of Cell Biology",30
"International Journal of Cardiovascular Imaging",1549
"International Journal of Cardiology: Cardiovascular Risk and Prevention",37
"International Journal of Cardiology",5307
"International Journal of Cancer",3490
"International Journal of COPD",1018
"International Journal of Breast Cancer",103
"International Journal of Bipolar Disorders",211
"International Journal of Biostatistics",127
"International Journal of Bioprinting",195
"International Journal of Biometeorology",1205
"International Journal of Biomedical Imaging",93
"International Journal of Biomaterials",187
"International Journal of Biological Sciences",1680
"International Journal of Biological Macromolecules",16598
"International Journal of Biochemistry and Cell Biology",1132
"International Journal of Behavioral Nutrition and Physical Activity",1012
"International Journal of Applied Earth Observation and Geoinformation",14
"International Journal of Applied Ceramic Technology",1
"International Journal of Antimicrobial Agents",1450
"International Journal of Angiology",3
"International Journal of Analytical Chemistry",449
"International Journal of Africa Nursing Sciences",22
"International Journal of Advanced Manufacturing Technology",43
"International Journal of Adolescent Medicine and Health",597
"International Journal for Quality in Health Care",7
"International Journal for Parasitology: Parasites and Wildlife",596
"International Journal for Parasitology: Drugs and Drug Resistance",325
"International Journal for Parasitology",668
"International Journal for Numerical and Analytical Methods in Geomechanics",4
"International Journal for Numerical Methods in Fluids",4
"International Journal for Numerical Methods in Engineering",9
"International Journal for Numerical Methods in Biomedical Engineering",635
"International Journal for Equity in Health",1344
"International Immunopharmacology",4866
"International Immunology",31
"International Health",109
"International Forum of Allergy and Rhinology",1071
"International Endodontic Journal",871
"International Emergency Nursing",447
"International Dental Journal",177
"International Breastfeeding Journal",446
"International Archives of Otorhinolaryngology",509
"International Archives of Occupational and Environmental Health",772
"International Archives of Allergy and Immunology",669
"Internal and Emergency Medicine",1220
"Internal Medicine Journal",334
"Interface Focus",46
"Interdisciplinary Toxicology",77
"Interdisciplinary Topics in Gerontology and Geriatrics",15
"Interdisciplinary Sciences - Computational Life Sciences",392
"Interdisciplinary Perspectives on Infectious Diseases",144
"Interdisciplinary Neurosurgery: Advanced Techniques and Case Management",10
"Interchange",9
"Interactive Cardiovascular and Thoracic Surgery",340
"Interacting with Computers",1
"Intensive Care Medicine Experimental",322
"Intensive Care Medicine",1125
"Intelligent Systems in Accounting, Finance and Management",1
"Intelligent Service Robotics",3
"Intelligent Medicine",7
"Intelligence-Based Medicine",18
"Integrative and Comparative Biology",8
"Integrative Organismal Biology",39
"Integrative Medicine Research",350
"Integrative Cancer Therapies",22
"Integrative Biology (United Kingdom)",7
"Integrating Materials and Manufacturing Innovation",6
"Integrated Environmental Assessment and Management",607
"Integrated Blood Pressure Control",50
"Integral Transforms and Special Functions",1
"Integral Equations and Operator Theory",2
"Instructional Science",8
"Insights into Imaging",760
"Insects",3873
"Insectes Sociaux",16
"Insect Science",645
"Insect Molecular Biology",166
"Insect Conservation and Diversity",2
"Insect Biochemistry and Molecular Biology",726
"Inquiry (United States)",18
"Inquiry (United Kingdom)",1
"Inorganica Chimica Acta",2
"Inorganic Chemistry Communication",3
"Innovative Surgical Sciences",115
"Innovative Higher Education",2
"Innovative Food Science and Emerging Technologies",1
"Innovations in Systems and Software Engineering",7
"Innovation: The European Journal of Social Science Research",1
"Innovation in Aging",5
"Innate Immunity",42
"Inland Water Biology",2
"Injury Prevention",574
"Injury Epidemiology",282
"Injury",3056
"Infrared Physics and Technology",2
"Information Retrieval",6
"Information Processing and Management",33
"Information Geometry",1
"Information Fusion",12
"Information Communication and Society",1
"Informatics in Medicine Unlocked",176
"Influenza and other Respiratory Viruses",345
"Inflammopharmacology",762
"Inflammatory Intestinal Diseases",124
"Inflammation and Regeneration",213
"Inflammation Research",690
"Inflammation",410
"Infezioni in Medicina",76
"Infectious Disorders - Drug Targets",58
"Infectious Diseases of Poverty",842
"Infectious Diseases in Obstetrics and Gynecology",114
"Infectious Diseases and Therapy",339
"Infectious Diseases Now",171
"Infectious Disease Reports",224
"Infectious Disease Modelling",314
"Infectious Agents and Cancer",385
"Infection, Genetics and Evolution",2428
"Infection, Disease and Health",156
"Infection and Immunity",1013
"Infection and Drug Resistance",1750
"Infection Prevention in Practice",184
"Infection Ecology and Epidemiology",89
"Infection",912
"Infant and Child Development",6
"Infant Mental Health Journal",97
"Infant Behavior and Development",576
"Infancy",218
"Industrial Relations",3
"Industrial &amp; Engineering Chemistry Research",73
"Indoor Air",572
"Indian Phytopathology",2
"Indian Journal of Thoracic and Cardiovascular Surgery",454
"Indian Journal of Surgical Oncology",650
"Indian Journal of Surgery",298
"Indian Journal of Sexually Transmitted Diseases and AIDS",65
"Indian Journal of Psychological Medicine",78
"Indian Journal of Psychiatry",392
"Indian Journal of Plastic Surgery",15
"Indian Journal of Pharmacology",30
"Indian Journal of Pediatrics",1090
"Indian Journal of Palliative Care",195
"Indian Journal of Otolaryngology and Head and Neck Surgery",1487
"Indian Journal of Orthopaedics",605
"Indian Journal of Occupational and Environmental Medicine",115
"Indian Journal of Nuclear Medicine",193
"Indian Journal of Nephrology",194
"Indian Journal of Microbiology",444
"Indian Journal of Medical Microbiology",203
"Indian Journal of Hematology and Blood Transfusion",842
"Indian Journal of Gynecologic Oncology",11
"Indian Journal of Gastroenterology",469
"Indian Journal of Endocrinology and Metabolism",224
"Indian Journal of Dermatology, Venereology and Leprology",80
"Indian Journal of Community Medicine",377
"Indian Journal of Clinical Biochemistry",406
"Indian Journal of Anaesthesia",723
"Indian Dermatology Online Journal",537
"In Vivo",13
"In Vitro Cellular and Developmental Biology - Plant",17
"In Vitro Cellular and Developmental Biology - Animal",617
"In Silico Plants",3
"Implementation Science",790
"Immunology and Cell Biology",467
"Immunology Letters",805
"Immunology",812
"Immunological Reviews",177
"Immunologic Research",179
"Immunogenetics",338
"Immunobiology",714
"ImmunoTargets and Therapy",65
"ImmunoHorizons",193
"Immuno-Oncology and Technology",1
"Immunity, inflammation and disease",442
"Immunity and Ageing",231
"Immunity",747
"Immune Network",304
"Imaging Science in Dentistry",240
"Ichthyological Research",1
"Icarus",1
"Ibis",3
"IUCrJ",579
"IUCrData",182
"IUBMB Life",853
"IT Professional",3
"ISME Journal",1679
"IRBM",5
"IMA Journal of Mathematical Control and Information",1
"IMA Journal of Management Mathematics",1
"IMA Journal of Applied Mathematics",1
"IMA Fungus",136
"ILAR Journal",4
"IJU Case Reports",2
"IJC Heart and Vasculature",811
"IET Systems Biology",31
"IET Nanobiotechnology",93
"IET Information Security",2
"IET Image Processing",4
"IET Biometrics",1
"IEEE Transactions on Services Computing",1
"IEEE Transactions on Network Science and Engineering",8
"IEEE Transactions on Multimedia",1
"IEEE Transactions on Molecular, Biological, and Multi-Scale Communications",7
"IEEE Transactions on Medical Robotics and Bionics",4
"IEEE Transactions on Intelligent Transportation Systems",1
"IEEE Transactions on Instrumentation and Measurement",4
"IEEE Transactions on Fuzzy Systems",1
"IEEE Transactions on Engineering Management",1
"IEEE Transactions on Control Systems Technology",1
"IEEE Transactions on Computational Social Systems",7
"IEEE Transactions on Computational Imaging",2
"IEEE Transactions on Cognitive and Developmental Systems",1
"IEEE Transactions on Circuits and Systems for Video Technology",1
"IEEE Transactions on Circuits and Systems I: Regular Papers",2
"IEEE Transactions on Big Data",2
"IEEE Transactions on Automation Science and Engineering",1
"IEEE Transactions on Artificial Intelligence",5
"IEEE Systems Journal",1
"IEEE Sensors Journal",22
"IEEE Pervasive Computing",1
"IEEE Open Journal of Signal Processing",2
"IEEE Open Journal of Engineering in Medicine and Biology",78
"IEEE Journal on Selected Topics in Signal Processing",3
"IEEE Journal of Translational Engineering in Health and Medicine",332
"IEEE Journal of Selected Topics in Quantum Electronics",2
"IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing",2
"IEEE Journal of Electromagnetics, RF and Microwaves in Medicine and Biology",1
"IEEE Internet of Things Journal",28
"IEEE Internet Computing",1
"IEEE Geoscience and Remote Sensing Letters",2
"IEEE Embedded Systems Letters",1
"IEEE Access",110
"IDCases",394
"ICES Journal of Marine Science",2
"IBRO Neuroscience Reports",139
"Hypertension Research",982
"Hypertension",613
"Hydrological Processes",14
"Hydrogeology Journal",14
"Hydrobiologia",26
"Humanities and Social Sciences Communications",81
"Human Studies",1
"Human Resources for Health",606
"Human Resource Management",2
"Human Reproduction Update",31
"Human Reproduction",317
"Human Psychopharmacology",236
"Human Physiology",5
"Human Pathology: Case Reports",1
"Human Pathology",1412
"Human Mutation",1123
"Human Movement Science",888
"Human Molecular Genetics",299
"Human Immunology",780
"Human Heredity",70
"Human Genomics",322
"Human Genome Variation",272
"Human Genetics and Genomics Advances",85
"Human Genetics",784
"Human Factors and Ergonomics In Manufacturing",13
"Human Factors",61
"Human Ecology",1
"Human Development",3
"Human Communication Research",3
"Human Cell",624
"Human Brain Mapping",2617
"Human Behavior and Emerging Technologies",15
"Housing and Society",1
"Horticulture Research",927
"Hormones and Behavior",965
"Hormones",355
"Hormone Research in Paediatrics",529
"Hormone Molecular Biology and Clinical Investigation",324
"Hong Kong Physiotherapy Journal",65
"Hong Kong Journal of Occupational Therapy",84
"Homeopathy",45
"Holocene",11
"History of the Family",1
"History and Philosophy of the Life Sciences",312
"History Compass",2
"History",1
"Historical Biology",2
"Historia, Ciencias, Saude - Manguinhos",88
"Histopathology",1013
"Hippocampus",469
"Hipertension y Riesgo Vascular",119
"Hip and Pelvis",169
"Higher Education Pedagogies",1
"High Blood Pressure and Cardiovascular Prevention",337
"Herzschrittmachertherapie und Elektrophysiologie",246
"Herz",297
"Hernia : the journal of hernias and abdominal wall surgery",962
"Heritage Science",26
"Heredity",711
"Hereditas",244
"Hereditary Cancer in Clinical Practice",177
"Herald of the Russian Academy of Sciences",64
"Hepatology Research",834
"Hepatology International",610
"Hepatology Communications",891
"Hepatology",2130
"Hepatitis Monthly",110
"Hemodialysis International",235
"Hematology, Transfusion and Cell Therapy",345
"Hematology Reports",131
"Hematological Oncology",490
"HemaSphere",338
"Helvetica Chimica Acta",2
"Helminthologia",190
"Hellenic Journal of Nuclear Medicine",185
"Hellenic Journal of Cardiology",287
"Heliyon",11331
"Helicobacter",79
"Heat and Mass Transfer",1
"HeartRhythm Case Reports",1
"Heart and Vessels",1357
"Heart and Lung: Journal of Acute and Critical Care",733
"Heart Surgery Forum",755
"Heart Rhythm O2",9
"Heart Rhythm",663
"Heart Lung and Circulation",1394
"Heart International",51
"Heart Asia",105
"Heart",1513
"Hearing Research",1152
"Healthcare Technology Letters",201
"Healthcare Informatics Research",244
"Healthcare (Switzerland)",4971
"Healthcare",293
"Health, Risk and Society",4
"Health literacy research and practice",90
"Health and Technology",115
"Health and Social Work",4
"Health and Social Care in the Community",1482
"Health and Quality of Life Outcomes",1597
"Health and Place",1065
"Health and Justice",150
"Health Systems",33
"Health Sociology Review",2
"Health Services and Outcomes Research Methodology",19
"Health Services Research and Managerial Epidemiology",80
"Health Services Research",174
"Health Services Insights",169
"Health Science Reports",859
"Health SA Gesondheid",231
"Health Research Policy and Systems",700
"Health Psychology and Behavioral Medicine",4
"Health Psychology Research",86
"Health Promotion Perspectives",282
"Health Promotion Journal of Australia",504
"Health Policy and Technology",3
"Health Policy and Planning",22
"Health Policy OPEN",22
"Health Policy",1110
"Health Information and Libraries Journal",135
"Health Expectations",771
"Health Education Research",58
"Health Economics Review",312
"Health Economics (United Kingdom)",849
"Health Care Management Science",247
"Headache",606
"Head and Neck Pathology",751
"Head and Neck",2163
"Head and Face Medicine",237
"Harmful Algae",760
"Harm Reduction Journal",577
"HardwareX",214
"Hand Therapy",1
"Hamostaseologie",33
"Haemophilia",654
"Haematologica",954
"HSS Journal",341
"HPB",1255
"HOMO- Journal of Comparative Human Biology",101
"HLA",558
"HIV/AIDS - Research and Palliative Care",279
"HIV Medicine",255
"HEC Forum",6
"HAYATI Journal of Biosciences",1
"Gynecology and Minimally Invasive Therapy",161
"Gynecologie Obstetrique Fertilite et Senologie",154
"Gynecological Surgery",44
"Gynecologic and Obstetric Investigation",422
"Gynecologic Oncology Reports",281
"Gynecologic Oncology",2495
"Gut and Liver",84
"Gut Pathogens",366
"Gut",1454
"Grundwasser",1
"Growth and Change",5
"Growth Hormone and IGF Research",277
"Group and Organization Management",5
"Group Processes and Intergroup Relations",10
"Groundwater for Sustainable Development",4
"Ground Water",484
"Green Chemistry",21
"Grass and Forage Science",3
"Granular Matter",4
"Grana",8
"Graefe's Archive for Clinical and Experimental Ophthalmology",2230
"Government Information Quarterly",10
"Governance",6
"Gondwana Research",13
"Glycoconjugate Journal",407
"Glycobiology",93
"Globalization and Health",660
"Global health, science and practice",546
"Global Transitions",9
"Global Spine Journal",43
"Global Qualitative Nursing Research",192
"Global Policy",23
"Global Pediatric Health",547
"Global Networks",8
"Global Heart",140
"Global Health, Epidemiology and Genomics",77
"Global Health Research and Policy",258
"Global Health Journal",25
"Global Health Action",180
"Global Epidemiology",15
"Global Environmental Change",5
"Global Ecology and Conservation",11
"Global Ecology and Biogeography",20
"Global Change Biology",2637
"Global Cardiology Science and Practice",17
"Global Biogeochemical Cycles",38
"Global Bioethics",13
"Global Advances In Health and Medicine",207
"Glass Structures and Engineering",1
"Giornale di Chirurgia",1
"GigaScience",108
"Giant",1
"Gerontology and Geriatric Medicine",452
"Gerontology",521
"Gerontologist, The",32
"Gerodontology",209
"GeroScience",635
"Geriatrics and Gerontology International",1020
"Geriatrics (Switzerland)",508
"Geriatric Orthopaedic Surgery and Rehabilitation",331
"Geriatric Nursing",798
"Geotechnical and Geological Engineering",2
"Geostandards and Geoanalytical Research",3
"Geospatial health",325
"Geoscience Letters",5
"Geoscience Data Journal",6
"Geophysical Prospecting",6
"Geophysical Journal International",3
"Geomicrobiology Journal",1
"Geometriae Dedicata",7
"Geomechanics and Geophysics for Geo-Energy and Geo-Resources",1
"Geography Compass",2
"Geographical Journal",4
"Geographical Analysis",9
"Geoenvironmental Disasters",5
"Geochemistry, Geophysics, Geosystems",31
"Geochemical Transactions",43
"Geobiology",281
"Geoarchaeology - An International Journal",5
"GeoInformatica",7
"GeoHealth",259
"Genus",50
"Genomics, Proteomics and Bioinformatics",426
"Genomics Insights",10
"Genomics",1672
"Genome Research",1124
"Genome Medicine",713
"Genome Integrity",3
"Genome Biology and Evolution",25
"Genome Biology",1575
"Geneva Papers on Risk and Insurance: Issues and Practice",12
"Genetics in Medicine",1410
"Genetics and Molecular Biology",608
"Genetics Selection Evolution",565
"Genetics Research International",24
"Genetics",1268
"Genetical Research",93
"Genetica",290
"Genetic Resources and Crop Evolution",12
"Genetic Epidemiology",407
"Genesis",262
"Genes, Brain and Behavior",426
"Genes to Cells",437
"Genes and Nutrition",179
"Genes and Immunity",232
"Genes and Genomics",705
"Genes and Environment",197
"Genes and Diseases",425
"Genes and Development",634
"Genes and Cancer",18
"Genes Chromosomes and Cancer",496
"Genes",7616
"General and Comparative Endocrinology",1445
"General Thoracic and Cardiovascular Surgery",1177
"General Relativity and Gravitation",8
"General Psychiatry",183
"General Physiology and Biophysics",146
"General Hospital Psychiatry",540
"Gene Therapy",506
"Gene Reports",64
"Gene Regulation and Systems Biology",28
"Gene Expression Patterns",253
"Gene",4803
"Gender, Work and Organization",60
"Gender, Technology and Development",2
"Gender, Place, and Culture",1
"Gender and History",3
"Gels",1260
"Geburtshilfe und Frauenheilkunde",310
"Gastrointestinal Endoscopy",2070
"Gastroenterology Research and Practice",1231
"Gastroenterology Nursing",35
"Gastroenterology",2538
"Gastric Cancer",697
"GPS Solutions",3
"GMS Journal for Medical Education",492
"GLIA",1060
"GERMS",153
"GENEVA Risk and Insurance Review",7
"GEM - International Journal on Geomathematics",6
"GCB Bioenergy",38
"G3: Genes, Genomes, Genetics",19
"Future Virology",72
"Future Science OA",278
"Future Neurology",5
"Future Generation Computer Systems",9
"Future Foods",1
"Fungal Systematics and Evolution",34
"Fungal Genetics and Biology",536
"Fungal Diversity",5
"Fungal Biology and Biotechnology",106
"Fungal Biology Reviews",1
"Fundamental and Clinical Pharmacology",520
"Functional and Integrative Genomics",419
"Functional Plant Biology",21
"Functional Ecology",26
"Fuel Cells",3
"Fuel",6
"Frontline Gastroenterology",438
"Frontiers of Medicine",461
"Frontiers of Mathematics in China",1
"Frontiers of Environmental Science and Engineering",28
"Frontiers of Earth Science",1
"Frontiers of Computer Science",4
"Frontiers of Chemical Science and Engineering",7
"Frontiers in Zoology",330
"Frontiers in Veterinary Science",5388
"Frontiers in Systems Neuroscience",735
"Frontiers in Synaptic Neuroscience",320
"Frontiers in Surgery",2356
"Frontiers in Sports and Active Living",1041
"Frontiers in Sociology",580
"Frontiers in Robotics and AI",1169
"Frontiers in Public Health",8621
"Frontiers in Psychology",26129
"Frontiers in Psychiatry",8129
"Frontiers in Plant Science",17739
"Frontiers in Physiology",11464
"Frontiers in Pharmacology",15123
"Frontiers in Pediatrics",4870
"Frontiers in Oncology",16144
"Frontiers in Nutrition",4502
"Frontiers in Neuroscience",8659
"Frontiers in Neurorobotics",793
"Frontiers in Neurology",9053
"Frontiers in Neuroinformatics",558
"Frontiers in Neuroendocrinology",279
"Frontiers in Neuroanatomy",791
"Frontiers in Neural Circuits",782
"Frontiers in Molecular Neuroscience",2634
"Frontiers in Molecular Biosciences",3424
"Frontiers in Microbiology",23038
"Frontiers in Medicine",7221
"Frontiers in Integrative Neuroscience",450
"Frontiers in Immunology",24553
"Frontiers in Human Neuroscience",4310
"Frontiers in Genetics",9770
"Frontiers in Environmental Science",1
"Frontiers in Energy Research",1
"Frontiers in Endocrinology",7550
"Frontiers in Digital Health",463
"Frontiers in Dentistry",148
"Frontiers in Computational Neuroscience",852
"Frontiers in Chemistry",5424
"Frontiers in Cellular and Infection Microbiology",5582
"Frontiers in Cellular Neuroscience",3340
"Frontiers in Cell and Developmental Biology",8488
"Frontiers in Cardiovascular Medicine",5500
"Frontiers in Bioengineering and Biotechnology",5766
"Frontiers in Big Data",315
"Frontiers in Behavioral Neuroscience",2148
"Frontiers in Artificial Intelligence",555
"Frontiers in Aging Neuroscience",4209
"Freshwater Biology",6
"Free Radical Biology and Medicine",2891
"Fractional Calculus and Applied Analysis",3
"Foundations of Physics",16
"Foundations of Computational Mathematics",4
"Forum for Health Economics and Policy",10
"Forschung im Ingenieurwesen/Engineering Research",1
"Forests",2
"Forest Policy and Economics",5
"Forest Pathology",2
"Forest Ecosystems",5
"Forensic Toxicology",85
"Forensic Sciences Research",114
"Forensic Science International: Synergy",130
"Forensic Science International: Mind and Law",4
"Forensic Science International: Genetics",930
"Forensic Science International",2592
"Foot and Ankle Surgery",819
"Foot",425
"Foods",9458
"Food and Waterborne Parasitology",128
"Food and Nutrition Research",455
"Food and Environmental Virology",302
"Food and Energy Security",32
"Food and Chemical Toxicology",4337
"Food and Bioprocess Technology",13
"Food Security",104
"Food Science of Animal Resources",316
"Food Science and Technology International",31
"Food Science and Nutrition",2467
"Food Science and Biotechnology",1410
"Food Microbiology",1348
"Food Hydrocolloids",2
"Food Chemistry: X",416
"Food Chemistry: Molecular Sciences",131
"Food Chemistry",14682
"Food Bioscience",3
"Food Biophysics",7
"Food Analytical Methods",6
"Folia Primatologica",157
"Folia Phoniatrica et Logopaedica",243
"Folia Parasitologica",205
"Folia Morphologica",823
"Folia Microbiologica",560
"Folia Histochemica et Cytobiologica",162
"Fluids and Barriers of the CNS",334
"Flow, Turbulence and Combustion",40
"Flavour and Fragrance Journal",1
"Fitoterapia",1643
"Fisheries Science",3
"Fisheries Oceanography",1
"Fisheries Management and Ecology",1
"Fisheries",4
"Fish and Shellfish Immunology",4493
"Fish and Fisheries",7
"Fish Physiology and Biochemistry",939
"Fire Technology",5
"Fire Ecology",2
"Financial Innovation",60
"Finance Research Letters",182
"Few-Body Systems",2
"Fetal Diagnosis and Therapy",525
"Fertility and Sterility",1430
"Feminist Media Studies",1
"Fatigue: Biomedicine, Health and Behavior",1
"Fatigue and Fracture of Engineering Materials and Structures",1
"Family and Consumer Sciences Research Journal",1
"Family Relations",27
"Family Process",156
"Family Medicine and Community Health",32
"Familial Cancer",126
"Facies",2
"FEMS Yeast Research",4
"FEMS Microbiology Reviews",2
"FEMS Microbiology Letters",5
"FEMS Microbiology Ecology",10
"FEBS Open Bio",1201
"FEBS Letters",1348
"FEBS Journal",2037
"FASEB Journal",1764
"FASEB BioAdvances",233
"F and S Science",94
"F and S Reviews",2
"F and S Reports",172
"Eye and Vision",262
"Eye and Contact Lens",4
"Eye and Brain",47
"Eye",2079
"Extremophiles",466
"Extremes",4
"Extreme Mechanics Letters",1
"Extractive Industries and Society",14
"Exposure and Health",10
"Explore: The Journal of Science and Healing",348
"Expert Systems",24
"Expert Review of Precision Medicine and Drug Development",1
