Journal title,Review process,APC,APC amount,Does the journal comply to DOAJ's definition of open access?,issn_linking
Obstetrics & Gynecology Science,Peer review,No,NA,Yes,22878572
Obstetrics & Gynecology Science,Peer review,No,NA,Yes,22878580
Journal of Asia-Pacific Biodiversity,Anonymous peer review,No,NA,Yes,2287884X
Prostate International,Double anonymous peer review,Yes,1800 USD,Yes,22878882
Prostate International,Double anonymous peer review,Yes,1800 USD,Yes,2287903X
Journal of Information Science Theory and Practice,Anonymous peer review,No,NA,Yes,22879099
Child Health Nursing Research,Double anonymous peer review,Yes,600 USD,Yes,22879110
Child Health Nursing Research,Double anonymous peer review,Yes,600 USD,Yes,22879129
Neonatal Medicine,Peer review,No,NA,Yes,22879412
Journal of Asia-Pacific Biodiversity,Anonymous peer review,No,NA,Yes,22879544
Annals of Coloproctology,Double anonymous peer review,Yes,500 USD,Yes,22879714
Annals of Coloproctology,Double anonymous peer review,Yes,500 USD,Yes,22879722
Neonatal Medicine,Peer review,No,NA,Yes,22879803
Physical Therapy Korea,Double anonymous peer review,Yes,300000 KRW,Yes,2287982X
Annals of Clinical Microbiology,Double anonymous peer review,Yes,250000 KRW,Yes,22880585
Journal of Ecology and Environment,Anonymous peer review,Yes,660 USD,Yes,22881220
Korean Journal of Clinical Laboratory Science,Double anonymous peer review,No,NA,Yes,22881662
Journal of Exercise Rehabilitation,Peer review,No,NA,Yes,2288176X
Journal of Exercise Rehabilitation,Peer review,No,NA,Yes,22881778
Intestinal Research,Double anonymous peer review,No,NA,Yes,22881956
한국치위생학회지,Peer review,Yes,310000 KRW,Yes,22882294
Journal of Lipid and Atherosclerosis,Peer review,No,NA,Yes,22882561
대한영상의학회지,Double anonymous peer review,Yes,50000 KRW,Yes,22882928
Korean Journal of Clinical Oncology,Anonymous peer review,No,NA,Yes,22884084
Journal of Computational Design and Engineering,Anonymous peer review,Yes,2050 USD,Yes,22885048
Journal of Nuclear Fuel Cycle and Waste Technology,Anonymous peer review,Yes,300000 KRW,Yes,22885471
Journal of Acute Care Surgery,Double anonymous peer review,No,NA,Yes,22885862
Ultrasonography,Double anonymous peer review,No,NA,Yes,22885919
Ultrasonography,Double anonymous peer review,No,NA,Yes,22885943
Asian Journal for Public Opinion Research,Double anonymous peer review,Yes,500 USD,Yes,22886168
Journal of Menopausal Medicine,Double anonymous peer review,No,NA,Yes,22886478
International Journal of Child Care and Education Policy,Double anonymous peer review,No,NA,Yes,22886729
Journal of Menopausal Medicine,Double anonymous peer review,No,NA,Yes,22886761
Annals of Clinical Microbiology,Double anonymous peer review,Yes,250000 KRW,Yes,22886850
International Journal of Advanced Culture Technology,Double anonymous peer review,Yes,100000 KRW,Yes,22887202
International Journal of Advanced Culture Technology,Double anonymous peer review,Yes,100000 KRW,Yes,22887318
Science Editing,Double anonymous peer review,No,NA,Yes,22887474
Journal of Educational Research in Mathematics,Double anonymous peer review,Yes,700000 KRW,Yes,22887733
Vascular Specialist International,Double anonymous peer review,No,NA,Yes,22887970
Vascular Specialist International,Double anonymous peer review,No,NA,Yes,22887989
Science Editing,Double anonymous peer review,No,NA,Yes,22888063
Journal of Liver Cancer,Anonymous peer review,No,NA,Yes,22888128
Journal of Educational Research in Mathematics,Double anonymous peer review,Yes,700000 KRW,Yes,22888357
Maxillofacial Plastic and Reconstructive Surgery,Double anonymous peer review,Yes,1890 GBP; 2490 USD; 2190 EUR,Yes,22888586
Clinics in Shoulder and Elbow,Double anonymous peer review,No,NA,Yes,22888721
Journal of Surgical Ultrasound,Peer review,No,NA,Yes,22889140
Archives of Aesthetic Plastic Surgery,Double anonymous peer review,Yes,60 USD,Yes,22889337
Journal of Acute Care Surgery,Double anonymous peer review,No,NA,Yes,22889582
Asia-Pacific Journal of Information Technology and Multimedia,Anonymous peer review,No,NA,Yes,22892192
Journal of Emerging Economies and Islamic Research,Double anonymous peer review,No,NA,Yes,22892559
Malaysian Online Journal of Educational Sciences,Double anonymous peer review,No,NA,Yes,22893024
Journal of Mechanical Engineering and Sciences,Anonymous peer review,No,NA,Yes,22894659
Malaysian Journal of International Relations,Anonymous peer review,No,NA,Yes,22895043
MALIM: Jurnal Pengajian Umum Asia Tenggara,Double anonymous peer review,No,NA,Yes,22895183
Journal of Agribusiness Marketing,Double anonymous peer review,No,NA,Yes,22895671
Journal of Academia,Double anonymous peer review,No,NA,Yes,22896368
Malaysian Management Journal,Double anonymous peer review,No,NA,Yes,22896651
Journal of International Studies,Double anonymous peer review,Yes,900 MYR; 250 USD,Yes,2289666X
Jurnal Tribologi,Double anonymous peer review,No,NA,Yes,22897232
Journal of Applied Science & Process Engineering,Double anonymous peer review,No,NA,Yes,22897771
Journal of ICT in Education,Double anonymous peer review,No,NA,Yes,22897844
International Islamic University Malaysia Engineering Journal,Double anonymous peer review,Yes,140 USD,Yes,22897860
International Journal of Built Environment and Sustainability,Double anonymous peer review,No,NA,Yes,22898948
International Journal of Industrial Management,Anonymous peer review,No,NA,Yes,22899286
"Movement, Health & Exercise",Anonymous peer review,No,NA,Yes,22899510
Canadian Journal of Gastroenterology and Hepatology,Anonymous peer review,Yes,2450 USD,Yes,22912789
Canadian Journal of Gastroenterology and Hepatology,Anonymous peer review,Yes,2450 USD,Yes,22912797
Cosmos + Taxis,Double anonymous peer review,No,NA,Yes,22915079
JMIR mHealth and uHealth,Peer review,Yes,3150 USD,Yes,22915222
Witness,Double anonymous peer review,No,NA,Yes,22915796
Health Reform Observer - Observatoire des Réformes de Santé,Peer review,No,NA,Yes,22916369
Convergences Francophones,Double anonymous peer review,No,NA,Yes,22917012
International Journal of Analysis and Applications,Anonymous peer review,Yes,450 USD,Yes,22918639
International Journal of Whole Person Care,"Editorial review, Double anonymous peer review",No,NA,Yes,2291918X
JMIR Serious Games,Peer review,Yes,2950 USD,Yes,22919279
JMIR Medical Informatics,Peer review,Yes,2300 USD,Yes,22919694
University of Saskatchewan Undergraduate Research Journal,Anonymous peer review,No,NA,Yes,22921141
"Vertebrate Anatomy, Morphology, Palaeontology",Peer review,No,NA,Yes,22921389
Nouvelle Revue Synergies Canada,Anonymous peer review,No,NA,Yes,22922261
Canadian Food Studies,Double anonymous peer review,Yes,1200 CAD,Yes,22923071
University of Ottawa Journal of Medicine,Double anonymous peer review,No,NA,Yes,2292650X
University of Ottawa Journal of Medicine,Double anonymous peer review,No,NA,Yes,22926518
East/West: Journal of Ukrainian Studies,Double anonymous peer review,No,NA,Yes,22927956
International Journal of E-learning and Distance Education,Anonymous peer review,No,NA,Yes,22928588
Biofuel Research Journal,Anonymous peer review,No,NA,Yes,22928782
JMIR Human Factors,Peer review,Yes,1985 USD,Yes,22929495
Canadian Journal of Higher Education,Double anonymous peer review,No,NA,Yes,22936602
Alces,Peer review,Yes,40 CAD,Yes,22936629
Informal Logic,Double anonymous peer review,No,NA,Yes,2293734X
Journal of Writing Research,Double anonymous peer review,No,NA,Yes,22943307
European Geologist,Anonymous peer review,No,NA,Yes,22948813
Belgeo,Double anonymous peer review,No,NA,Yes,22949135
Sur le Journalisme,Anonymous peer review,No,NA,Yes,22950710
Sur le Journalisme,Anonymous peer review,No,NA,Yes,22950729
Studies on National Movements,Double anonymous peer review,No,NA,Yes,22951466
Frontline Learning Research,Double anonymous peer review,Yes,200 EUR,Yes,22953159
Revue Belge d'Histoire Contemporaine,Double anonymous peer review,No,NA,Yes,22953744
Faunistic Entomology,Anonymous peer review,No,NA,Yes,22957235
Tropicultura,Double anonymous peer review,No,NA,Yes,22958010
Revue Critique de Fixxion Française Contemporaine,Double anonymous peer review,No,NA,Yes,22959106
027.7,Editorial review,No,NA,Yes,22960597
Frontiers in Pediatrics,Anonymous peer review,Yes,3150 CHF,Yes,22962360
Frontiers in Public Health,Anonymous peer review,Yes,3150 CHF,Yes,22962565
Frontiers in Chemistry,Anonymous peer review,Yes,3150 CHF,Yes,22962646
Studia Philosophica,Peer review,No,NA,Yes,22962883
Dermatopathology,Anonymous peer review,Yes,1200 CHF,Yes,22963529
Zeitschrift für Medienwissenschaft,Peer review,No,NA,Yes,22964126
Studies in Communication Sciences,Double anonymous peer review,No,NA,Yes,22964150
Frontiers in Bioengineering and Biotechnology,Anonymous peer review,Yes,3150 CHF,Yes,22964185
Frontiers in Physics,Anonymous peer review,Yes,2550 CHF,Yes,2296424X
Survey Methods - Insights from the Field,Peer review,No,NA,Yes,22964754
Frontiers in Energy Research,Anonymous peer review,Yes,2550 CHF,Yes,2296598X
Frontiers in Cell and Developmental Biology,Anonymous peer review,Yes,3150 CHF,Yes,2296634X
Frontiers in Earth Science,Anonymous peer review,Yes,3150 CHF,Yes,22966463
Frontiers in Environmental Science,Anonymous peer review,Yes,3150 CHF,Yes,2296665X
Parallèles,Double anonymous peer review,No,NA,Yes,22966684
Biomedicine Hub,Anonymous peer review,Yes,1630 CHF; 1820 USD; 1600 EUR,Yes,22966870
Frontiers in Ecology and Evolution,Anonymous peer review,Yes,2550 CHF,Yes,2296701X
European Agrophysical Journal,Double anonymous peer review,No,NA,Yes,2296763X
European Agrophysical Journal,Double anonymous peer review,No,NA,Yes,22967664
Frontiers in Marine Science,Anonymous peer review,Yes,3150 CHF,Yes,22967745
Frontiers in Materials,Anonymous peer review,Yes,3150 CHF,Yes,22968016
Frontiers in Medicine,Anonymous peer review,Yes,3150 CHF,Yes,2296858X
Frontiers in Nutrition,Anonymous peer review,Yes,3150 CHF,Yes,2296861X
Frontiers in Surgery,Anonymous peer review,Yes,3150 CHF,Yes,2296875X
Frontiers in Molecular Biosciences,Anonymous peer review,Yes,3150 CHF,Yes,2296889X
Frontiers in Robotics and AI,Anonymous peer review,Yes,1950 CHF,Yes,22969144
Kidney Diseases,Anonymous peer review,Yes,2230 EUR; 2540 USD; 2250 CHF,Yes,22969357
Inflammatory Intestinal Diseases,Anonymous peer review,Yes,980 CHF; 1080 USD; 930 EUR,Yes,22969365
Case Reports in Orthopedic Research,Anonymous peer review,Yes,750 CHF; 830 USD; 720 EUR,Yes,22969373
Kidney Diseases,Anonymous peer review,Yes,2230 EUR; 2540 USD; 2250 CHF,Yes,22969381
Inflammatory Intestinal Diseases,Anonymous peer review,Yes,980 CHF; 1080 USD; 930 EUR,Yes,22969403
Case Reports in Nephrology and Dialysis,Anonymous peer review,Yes,1010 CHF; 1200 USD; 990 EUR,Yes,22969705
Frontiers in Astronomy and Space Sciences,Anonymous peer review,Yes,1950 CHF,Yes,2296987X
International Journal of Health Professions,Double anonymous peer review,No,NA,Yes,2296990X
Revue Francophone de Recherche en Ergothérapie,Anonymous peer review,No,NA,Yes,22970533
Frontiers in Cardiovascular Medicine,Anonymous peer review,Yes,3150 CHF,Yes,2297055X
sui-generis,Anonymous peer review,No,NA,Yes,2297105X
Frontiers in Veterinary Science,Anonymous peer review,Yes,3150 CHF,Yes,22971769
Arte Nuevo,Double anonymous peer review,No,NA,Yes,22972692
Frontiers in Mechanical Engineering,Anonymous peer review,Yes,1175 CHF,Yes,22973079
Frontiers in Built Environment,Anonymous peer review,Yes,1950 CHF,Yes,22973362
Frontiers in Applied Mathematics and Statistics,Anonymous peer review,Yes,1175 CHF,Yes,22974687
Zeitschrift für Religionskunde,Double anonymous peer review,No,NA,Yes,22976469
Challenges in Sustainability,Double anonymous peer review,Yes,800 USD,Yes,22976477
Organic Farming,Anonymous peer review,Yes,156 CHF,Yes,22976485
Zwitscher-Maschine,"Peer review, Open peer review",No,NA,Yes,22976809
Frontiers in Sociology,Anonymous peer review,Yes,1175 CHF,Yes,22977775
sozialpolitik.ch,Double anonymous peer review,No,NA,Yes,22978224
Swiss Journal of Sociology,Double anonymous peer review,No,NA,Yes,22978348
Separations,Anonymous peer review,Yes,2600 CHF,Yes,22978739
Mathematical and Computational Applications,Anonymous peer review,Yes,1400 CHF,Yes,22978747
Frontiers in Communication,Anonymous peer review,Yes,1175 CHF,Yes,2297900X
Ex Ante,Double anonymous peer review,No,NA,Yes,22979174
Ex Ante,Double anonymous peer review,No,NA,Yes,22979182
Tímarit um Uppeldi og Menntun,Double anonymous peer review,No,NA,Yes,22988394
Tímarit um Uppeldi og Menntun,Double anonymous peer review,No,NA,Yes,22988408
Menopause Review,Double anonymous peer review,Yes,1000 PLN; 200 EUR,Yes,22990038
Videosurgery and Other Miniinvasive Techniques,Double anonymous peer review,Yes,2300 EUR,Yes,22990054
Pielęgniarstwo Neurologiczne i Neurochirurgiczne,Double anonymous peer review,No,NA,Yes,22990321
Management Systems in Production Engineering,Double anonymous peer review,Yes,450 EUR,Yes,22990461
Studia Humana,Double anonymous peer review,No,NA,Yes,22990518
Open Computer Science,Anonymous peer review,Yes,1000 EUR,Yes,22991093
Journal of Health Policy & Outcomes Research,Double anonymous peer review,No,NA,Yes,22991247
Filozofia Publiczna i Edukacja Demokratyczna,Double anonymous peer review,No,NA,Yes,22991875
Archives of Foundry Engineering,Anonymous peer review,Yes,110 EUR,Yes,22992944
Topological Algebra and its Applications,Anonymous peer review,No,NA,Yes,22993231
Analysis and Geometry in Metric Spaces,Anonymous peer review,Yes,1000 EUR,Yes,22993274
Concrete Operators,Anonymous peer review,Yes,500 EUR,Yes,22993282
Computer Assisted Methods in Engineering and Science,Anonymous peer review,No,NA,Yes,22993649
Beiträge zur Allgemeinen und Vergleichenden Sprachwissenschaft,Double anonymous peer review,No,NA,Yes,22994122
Journal of Apicultural Science,Double anonymous peer review,Yes,500 EUR; 2000 PLN,Yes,22994831
Journal of Stomatology,Double anonymous peer review,No,NA,Yes,2299551X
internetowy Kwartalnik Antymonopolowy i Regulacyjny,Double anonymous peer review,No,NA,Yes,22995749
Token: A Journal of English Linguistics,Double anonymous peer review,No,NA,Yes,22995900
Ekonomista,Double anonymous peer review,No,NA,Yes,22996184
Zeszyty Prasoznawcze,Double anonymous peer review,No,NA,Yes,22996362
Financial Law Review,Double anonymous peer review,No,NA,Yes,22996834
"Journal of Entrepreneurship, Management and Innovation",Double anonymous peer review,No,NA,Yes,22997075
Academic Journal of Modern Philology,Double anonymous peer review,No,NA,Yes,22997164
"Journal of Entrepreneurship, Management and Innovation",Double anonymous peer review,No,NA,Yes,22997326
Czytanie Literatury,Double anonymous peer review,No,NA,Yes,22997458
Edukacyjna Analiza Transakcyjna,Double anonymous peer review,No,NA,Yes,22997466
Studia Litteraria et Historica,Double anonymous peer review,No,NA,Yes,22997571
"Geology, Geophysics & Environment",Double anonymous peer review,No,NA,Yes,22998004
Problemy Pielęgniarstwa,Double anonymous peer review,Yes,400 PLN,Yes,22998284
Pneumonologia i Alergologia Polska,Double anonymous peer review,No,NA,Yes,22998292
Endokrynologia Polska,Double anonymous peer review,Yes,700 EUR,Yes,22998306
Biuletyn Uniejowski,Double anonymous peer review,No,NA,Yes,22998403
Journal of Language Modelling,Double anonymous peer review,No,NA,Yes,22998470
Budownictwo o Zoptymalizowanym Potencjale Energetycznym,Anonymous peer review,Yes,1230 PLN,Yes,22998535
Journal of Language Modelling,Double anonymous peer review,No,NA,Yes,2299856X
internetowy Kwartalnik Antymonopolowy i Regulacyjny,Double anonymous peer review,No,NA,Yes,22998837
International Journal of Management and Economics,Double anonymous peer review,Yes,2000 PLN; 450 EUR,Yes,22999701
Journal of Applied Mathematics and Computational Mechanics,Anonymous peer review,Yes,500 EUR,Yes,22999965
Studia Gilsoniana,Double anonymous peer review,No,NA,Yes,23000066
Studia z Geografii Politycznej i Historycznej,Double anonymous peer review,No,NA,Yes,23000562
Adeptus,Double anonymous peer review,No,NA,Yes,23000783
AUTEX Research Journal,Anonymous peer review,Yes,1500 EUR,Yes,23000929
Journal for Perspectives of Economic Political and Social Integration,Double anonymous peer review,No,NA,Yes,23000945
Copernican Journal of Finance & Accounting,Double anonymous peer review,No,NA,Yes,23001240
Annales Universitatis Paedagogicae Cracoviensis: Studia Mathematica,Double anonymous peer review,No,NA,Yes,2300133X
"Geomatics, Landmanagement and Landscape",Double anonymous peer review,Yes,250 PLN,Yes,23001496
Central and Eastern European Migration Review,Double anonymous peer review,No,NA,Yes,23001682
Władza Sądzenia,Double anonymous peer review,No,NA,Yes,23001690
Archive of Mechanical Engineering,Anonymous peer review,No,NA,Yes,23001895
Archives of Metallurgy and Materials,Anonymous peer review,No,NA,Yes,23001909
Bulletin of the Polish Academy of Sciences: Technical Sciences,Double anonymous peer review,Yes,1230 PLN,Yes,23001917
Chemical and Process Engineering,Peer review,Yes,1500 PLN,Yes,23001925
International Journal of Electronics and Telecommunications,Peer review,Yes,500 PLN,Yes,23001933
Metrology and Measurement Systems,Anonymous peer review,No,NA,Yes,23001941
Nowotwory,Double anonymous peer review,No,NA,Yes,23002115
Dependence Modeling,Anonymous peer review,Yes,1000 EUR,Yes,23002298
Archives of Electrical Engineering,Double anonymous peer review,Yes,200 EUR,Yes,23002506
Creatio Fantastica,Double anonymous peer review,No,NA,Yes,23002514
Geodesy and Cartography,Double anonymous peer review,No,NA,Yes,23002581
Archives of Control Sciences,Double anonymous peer review,No,NA,Yes,23002611
Archives of Acoustics,Anonymous peer review,No,NA,Yes,2300262X
Copernican Journal of Finance & Accounting,Double anonymous peer review,No,NA,Yes,23003065
Archives of Civil Engineering,Anonymous peer review,Yes,2780 PLN; 605 EUR,Yes,23003103
Foundations of Computing and Decision Sciences,Anonymous peer review,No,NA,Yes,23003405
Acta Agrobotanica,Double anonymous peer review,Yes,400 EUR,Yes,2300357X
Change and Adaptation in Socio-Ecological Systems,Anonymous peer review,No,NA,Yes,23003669
Studia Prawa Publicznego,Double anonymous peer review,No,NA,Yes,23003936
Journal of Sustainable Mining,Peer review,No,NA,Yes,23003960
Cahiers ERTA,Double anonymous peer review,No,NA,Yes,23004681
Filozofia i Nauka,Double anonymous peer review,No,NA,Yes,23004711
Soil Science Annual,Anonymous peer review,Yes,600 EUR,Yes,23004967
Soil Science Annual,Anonymous peer review,Yes,600 EUR,Yes,23004975
Journal of Horticultural Research,Double anonymous peer review,No,NA,Yes,23005009
Gospodarka Narodowa. The Polish Journal of Economics,Double anonymous peer review,No,NA,Yes,23005238
Logopedia Silesiana,Double anonymous peer review,No,NA,Yes,23005246
Real Estate Management and Valuation,Double anonymous peer review,Yes,375 EUR; 1700 PLN,Yes,23005289
Humanities and Social Sciences,Double anonymous peer review,Yes,210 PLN,Yes,23005327
Folia Medica Copernicana,Double anonymous peer review,No,NA,Yes,23005432
Foundations of Management,Double anonymous peer review,Yes,2600 PLN,Yes,23005661
Schulz Forum,Double anonymous peer review,No,NA,Yes,23005823
Annales Universitatis Paedagogicae Cracoviensis. Studia Historicolitteraria,"Editorial review, Double anonymous peer review",No,NA,Yes,23005831
Studies in Polish Linguistics,Double anonymous peer review,No,NA,Yes,23005920
Forum Scientiae Oeconomia,Double anonymous peer review,No,NA,Yes,23005947
Annals of computer science and information systems,Anonymous peer review,No,NA,Yes,23005963
Acta Scientiarum Polonorum Zootechnica,Double anonymous peer review,Yes,250 PLN,Yes,23006145
Crossroads,Double anonymous peer review,No,NA,Yes,23006250
Modern Management Review,Double anonymous peer review,No,NA,Yes,23006366
Konteksty Pedagogiczne,Double anonymous peer review,No,NA,Yes,23006471
Open Archaeology,Anonymous peer review,Yes,500 EUR,Yes,23006560
Open Theology,Double anonymous peer review,Yes,1000 EUR,Yes,23006579
Current Issues in Pharmacy and Medical Sciences,Double anonymous peer review,Yes,135 EUR; 600 PLN,Yes,23006676
Studia Medyczne,Anonymous peer review,Yes,900 PLN; 200 EUR,Yes,23006722
Acta Agrophysica,Double anonymous peer review,Yes,350 EUR,Yes,23006730
Opuscula Mathematica,Anonymous peer review,No,NA,Yes,23006919
Computer Science,Double anonymous peer review,No,NA,Yes,23007036
Geomatics and Environmental Engineering,Double anonymous peer review,No,NA,Yes,23007095
Studia Humanistyczne AGH,Double anonymous peer review,No,NA,Yes,23007109
Acta Haematologica Polonica,Double anonymous peer review,No,NA,Yes,23007117
Folia Malacologica,Double anonymous peer review,No,NA,Yes,23007125
Oceanologia,Anonymous peer review,No,NA,Yes,23007370
Complex Manifolds,Anonymous peer review,Yes,500 EUR,Yes,23007443
Special Matrices,Anonymous peer review,Yes,1000 EUR,Yes,23007451
"Annales Universitatis Mariae Curie-Skłodowska. Sectio K, Politologia",Double anonymous peer review,No,NA,Yes,23007567
Limnological Review,Anonymous peer review,Yes,1000 CHF,Yes,23007575
Fatigue of Aircraft Structures,Double anonymous peer review,No,NA,Yes,23007591
Multicultural Shakespeare,Double anonymous peer review,No,NA,Yes,23007605
Scientia et Fides,Double anonymous peer review,No,NA,Yes,23007648
Transport Problems,Anonymous peer review,Yes,350 EUR,Yes,2300861X
Pediatria Polska,Double anonymous peer review,No,NA,Yes,23008660
International Studies: Interdisciplinary Political and Cultural Journal,Double anonymous peer review,No,NA,Yes,23008695
International Agrophysics,Anonymous peer review,Yes,600 EUR,Yes,23008725
Security and Defence Quarterly,Double anonymous peer review,No,NA,Yes,23008741
Problemy Zarządzania,Double anonymous peer review,No,NA,Yes,23008792
Contemporary Economics,Double anonymous peer review,Yes,400 EUR,Yes,23008814
Archives of Transport,Double anonymous peer review,Yes,350 EUR,Yes,23008830
Peitho,Double anonymous peer review,No,NA,Yes,23009004
Dental and Medical Problems,Double anonymous peer review,Yes,1600 EUR; 6900 PLN,Yes,23009020
Mining Science,Double anonymous peer review,No,NA,Yes,23009586
Central European Journal of Sport Sciences and Medicine,Double anonymous peer review,No,NA,Yes,23009705
Prawo Budżetowe Państwa i Samorządu,Double anonymous peer review,No,NA,Yes,23009853
Humanities and Social Sciences,Double anonymous peer review,Yes,210 PLN,Yes,23009918
Open Linguistics,Anonymous peer review,Yes,500 EUR,Yes,23009969
InterCambios: Dilemas y Transiciones de la Educación Superior,Double anonymous peer review,No,NA,Yes,23010118
InterCambios: Dilemas y Transiciones de la Educación Superior,Double anonymous peer review,No,NA,Yes,23010126
Revista Uruguaya de Enfermería,Double anonymous peer review,No,NA,Yes,23010371
Revista de la Facultad de Derecho,Double anonymous peer review,No,NA,Yes,23010665
Memoria Investigaciones en Ingeniería,Double anonymous peer review,No,NA,Yes,23011092
Memoria Investigaciones en Ingeniería,Double anonymous peer review,No,NA,Yes,23011106
Anales de la Facultad de Medicina,Peer review,No,NA,Yes,23011254
Informatio,Double anonymous peer review,No,NA,Yes,23011378
Anales de Investigación en Arquitectura,Double anonymous peer review,No,NA,Yes,23011505
Anales de Investigación en Arquitectura,Double anonymous peer review,No,NA,Yes,23011513
Agrociencia,Double anonymous peer review,No,NA,Yes,23011548
Revista de Derecho,Double anonymous peer review,No,NA,Yes,23011610
Humanidades,Double anonymous peer review,No,NA,Yes,23011629
JSM (Jurnal Seni Musik),Double anonymous peer review,No,NA,Yes,23014091
Jurnal Nasional Teknik Elektro dan Teknologi Informasi,Double anonymous peer review,Yes,1500000 IDR; 200 USD,Yes,23014156
JAKP (Jurnal Administrasi dan Kebijakan Publik),Anonymous peer review,No,NA,Yes,23014342
Jurnal Manajemen,Double anonymous peer review,Yes,800000 IDR,Yes,23014628
Retorika,Anonymous peer review,Yes,300000 IDR,Yes,23014768
Positron,Anonymous peer review,Yes,200000 IDR,Yes,23014970
Grenek: Jurnal Seni Musik,Double anonymous peer review,Yes,600000 IDR,Yes,23015349
Publik,Double anonymous peer review,No,NA,Yes,2301573X
Journal of Marine and Coastal Science,Double anonymous peer review,No,NA,Yes,23016159
Psikopedagogia: Jurnal Bimbingan dan Konseling,Anonymous peer review,Yes,1250000 IDR,Yes,23016167
Seloka: Jurnal Pendidikan Bahasa dan Sastra Indonesia,Double anonymous peer review,Yes,500000 IDR,Yes,23016744
Jurnal Ilmiah Kursor: Menuju Solusi Teknologi Informasi,Double anonymous peer review,No,NA,Yes,23016914
Jurnal Berkala Epidemiologi,Double anonymous peer review,Yes,100 USD; 1000000 IDR,Yes,23017171
Journal of Aquaculture and Fish Health,Double anonymous peer review,No,NA,Yes,23017309
Journal of Economic Education,Peer review,Yes,500000 IDR,Yes,23017341
Jurnal Kesehatan Andalas,Double anonymous peer review,No,NA,Yes,23017406
English Review: Journal of English Education,Double anonymous peer review,Yes,150 USD,Yes,23017554
Tadris: Jurnal Keguruan dan Ilmu Tarbiyah,Anonymous peer review,Yes,1000000 IDR,Yes,23017562
Indonesia Medicus Veterinus,Anonymous peer review,Yes,220000 IDR,Yes,23017848
Jurnal Ilmiah Pendidikan Matematika,Double anonymous peer review,No,NA,Yes,23017929
Jurnal Rekonstruksi dan Estetik,Double anonymous peer review,No,NA,Yes,23017937
Jurnal Sisfokom,Anonymous peer review,Yes,800000 IDR,Yes,23017988
The Indonesian Journal of Occupational Safety and Health,Double anonymous peer review,No,NA,Yes,23018046
Journal of Earth Energy Engineering,Double anonymous peer review,No,NA,Yes,23018097
Jurnal Ilmiah Rekayasa Pertanian dan Biosistem,Anonymous peer review,Yes,1000000 IDR,Yes,23018119
Indonesian Journal of Physics,Peer review,No,NA,Yes,23018151
Andalas Journal of International Studies,Anonymous peer review,Yes,800000 IDR,Yes,23018208
Jurnal Ilmiah Psikologi Terapan,Double anonymous peer review,Yes,50 USD,Yes,23018267
Jurnal Riset Manajemen Sains Indonesia,Double anonymous peer review,No,NA,Yes,23018313
Jurnal Kebidanan,Peer review,Yes,100000 IDR,Yes,23018372
Jurnal Pensil,Anonymous peer review,Yes,750000 IDR,Yes,23018437
Jurnal Ilmu Sosial Mamangan,Double anonymous peer review,Yes,600000 IDR,Yes,23018496
Baca: Jurnal Dokumentasi dan Informasi,Double anonymous peer review,No,NA,Yes,23018593
Masker Medika,Anonymous peer review,Yes,250000 IDR,Yes,23018631
Kapal,Anonymous peer review,No,NA,Yes,23019069
MATHEdunesa,Peer review,No,NA,Yes,23019085
Jurnal Manajemen Dan Kewirausahaan,Peer review,No,NA,Yes,23019093
Global Medical & Health Communication,Double anonymous peer review,Yes,1000000 IDR,Yes,23019123
Jurnal Pendidikan Islam,Double anonymous peer review,No,NA,Yes,23019166
Proxies: Jurnal Informatika,Anonymous peer review,No,NA,Yes,23019220
Jurnal Teknik ITS,Peer review,No,NA,Yes,23019271
Arsitekno,Anonymous peer review,No,NA,Yes,2301945X
Indonesian Journal of Applied Linguistics,Anonymous peer review,Yes,350 USD,Yes,23019468
Jurnal Komunikasi Indonesia,Double anonymous peer review,No,NA,Yes,23019816
Agriekonomika,Anonymous peer review,No,NA,Yes,23019948
Jurnal Pendidikan dan Kewirausahaan,Double anonymous peer review,Yes,300000 IDR,Yes,23020008
Jurnal Psikologi Undip,Double anonymous peer review,Yes,1500000 IDR,Yes,23021098
International Journal of Integrated Health Sciences,Anonymous peer review,No,NA,Yes,23021381
Jurnal Ilmiah Wahana Akuntansi,Double anonymous peer review,No,NA,Yes,23021810
Jurnal Pendidikan Ekonomi dan Bisnis (JPEB),Double anonymous peer review,No,NA,Yes,23022663
Al-Kimia,Double anonymous peer review,No,NA,Yes,23022736
Jurnal Nasional Teknik Elektro,Double anonymous peer review,Yes,1500000 IDR,Yes,23022949
IJET (Indonesian Journal of English Teaching),Peer review,No,NA,Yes,23022957
Biokultur,Peer review,No,NA,Yes,23023058
Jurnal Ilmiah Platax,"Anonymous peer review, Double anonymous peer review",Yes,500000 IDR,Yes,23023589
Bestuur,Double anonymous peer review,Yes,1500000 IDR,Yes,23023783
Inovasi Fisika Indonesia,Peer review,No,NA,Yes,23024216
Citizenship: Jurnal Pendidikan Pancasila dan Kewarganegaraan,Anonymous peer review,No,NA,Yes,2302433X
Jurnal Teknologi & Industri Hasil Pertanian,Double anonymous peer review,Yes,1000000 IDR,Yes,23024399
Inovasi Pendidikan Fisika,Peer review,No,NA,Yes,23024496
Primatika,Double anonymous peer review,Yes,300000 IDR,Yes,23024518
Journal of Pure and Applied Chemistry Research,Peer review,Yes,400000 IDR,Yes,23024690
Economica,Peer review,Yes,150000 IDR,Yes,23025190
